2026-05-19 11:57:22 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Shrunken Treasures: Literary Classics, Short, Sweet, and Silly' (https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html)
2026-05-19 11:57:23 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Black Butler, Vol. 1 (Black Butler #1)' (https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html)
2026-05-19 11:57:23 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Hidden Oracle (The Trials of Apollo #1)' (https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html)
2026-05-19 11:57:24 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Three Searches, Meaning, and the Story' (https://books.toscrape.com/catalogue/the-three-searches-meaning-and-the-story_649/index.html)
2026-05-19 11:57:25 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Exiled' (https://books.toscrape.com/catalogue/the-exiled_247/index.html)
2026-05-19 11:57:25 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Last Painting of Sara de Vos' (https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html)
2026-05-19 11:57:26 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Beyond Good and Evil' (https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html)
2026-05-19 11:57:27 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Island of Dragons (Unwanteds #7)' (https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html)
2026-05-19 11:57:27 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Library of Souls (Miss Peregrine’s Peculiar Children #3)' (https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html)
2026-05-19 11:57:28 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis' (https://books.toscrape.com/catalogue/why-save-the-bankers-and-other-essays-on-our-economic-and-political-crisis_418/index.html)
2026-05-19 11:57:28 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Hide Away (Eve Duncan #20)' (https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html)
2026-05-19 11:57:29 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Black Maria' (https://books.toscrape.com/catalogue/the-black-maria_991/index.html)
2026-05-19 11:57:29 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman' (https://books.toscrape.com/catalogue/ship-leaves-harbor-essays-on-travel-by-a-recovering-journeyman_438/index.html)
2026-05-19 11:57:30 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Three Wishes (River of Time: California #1)' (https://books.toscrape.com/catalogue/three-wishes-river-of-time-california-1_89/index.html)
2026-05-19 11:57:31 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory' (https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html)
2026-05-19 11:57:31 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'In the Country We Love: My Family Divided' (https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html)
2026-05-19 11:57:32 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Mere Christianity' (https://books.toscrape.com/catalogue/mere-christianity_435/index.html)
2026-05-19 11:57:32 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Paradise Lost (Paradise #1)' (https://books.toscrape.com/catalogue/paradise-lost-paradise-1_45/index.html)
2026-05-19 11:57:33 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Sit, Stay, Love' (https://books.toscrape.com/catalogue/sit-stay-love_486/index.html)
2026-05-19 11:57:33 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Mother, Can You Not?' (https://books.toscrape.com/catalogue/mother-can-you-not_599/index.html)
2026-05-19 11:57:34 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Golden (Heart of Dread #3)' (https://books.toscrape.com/catalogue/golden-heart-of-dread-3_161/index.html)
2026-05-19 11:57:34 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Drowning Girls' (https://books.toscrape.com/catalogue/the-drowning-girls_494/index.html)
2026-05-19 11:57:35 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'My Kitchen Year: 136 Recipes That Saved My Life' (https://books.toscrape.com/catalogue/my-kitchen-year-136-recipes-that-saved-my-life_646/index.html)
2026-05-19 11:57:35 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It' (https://books.toscrape.com/catalogue/the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html)
2026-05-19 11:57:36 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!' (https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html)
2026-05-19 11:57:36 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Mrs. Houdini' (https://books.toscrape.com/catalogue/mrs-houdini_821/index.html)
2026-05-19 11:57:37 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1)' (https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html)
2026-05-19 11:57:37 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'A World of Flavor: Your Gluten Free Passport' (https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html)
2026-05-19 11:57:38 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Modern Romance' (https://books.toscrape.com/catalogue/modern-romance_820/index.html)
2026-05-19 11:57:38 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Choosing Our Religion: The Spiritual Lives of America's Nones' (https://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html)
2026-05-19 11:57:39 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Art and Science of Low Carbohydrate Living' (https://books.toscrape.com/catalogue/the-art-and-science-of-low-carbohydrate-living_570/index.html)
2026-05-19 11:57:39 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Demonists (Demonist #1)' (https://books.toscrape.com/catalogue/the-demonists-demonist-1_345/index.html)
2026-05-19 11:57:40 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'And Then There Were None' (https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html)
2026-05-19 11:57:40 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Dress Your Family in Corduroy and Denim' (https://books.toscrape.com/catalogue/dress-your-family-in-corduroy-and-denim_562/index.html)
2026-05-19 11:57:41 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Cinder (The Lunar Chronicles #1)' (https://books.toscrape.com/catalogue/cinder-the-lunar-chronicles-1_139/index.html)
2026-05-19 11:57:41 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'House of Leaves' (https://books.toscrape.com/catalogue/house-of-leaves_169/index.html)
2026-05-19 11:57:42 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Catcher in the Rye' (https://books.toscrape.com/catalogue/the-catcher-in-the-rye_236/index.html)
2026-05-19 11:57:42 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Beowulf' (https://books.toscrape.com/catalogue/beowulf_126/index.html)
2026-05-19 11:57:43 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed' (https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html)
2026-05-19 11:57:43 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations' (https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html)
2026-05-19 11:57:43 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Fruits Basket, Vol. 7 (Fruits Basket #7)' (https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html)
2026-05-19 11:57:44 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'I Had a Nice Time And Other Lies...: How to find love & sh*t like that' (https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html)
2026-05-19 11:57:45 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Girl in the Blue Coat' (https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html)
2026-05-19 11:57:45 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'City of Glass (The Mortal Instruments #3)' (https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html)
2026-05-19 11:57:46 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Cat in the Hat (Beginner Books B-1)' (https://books.toscrape.com/catalogue/the-cat-in-the-hat-beginner-books-b-1_235/index.html)
2026-05-19 11:57:47 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'The Barefoot Contessa Cookbook' (https://books.toscrape.com/catalogue/the-barefoot-contessa-cookbook_440/index.html)
2026-05-19 11:57:47 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Catching Jordan (Hundred Oaks)' (https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html)
2026-05-19 11:57:48 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Suzie Snowflake: One beautiful flake (a self-esteem story)' (https://books.toscrape.com/catalogue/suzie-snowflake-one-beautiful-flake-a-self-esteem-story_568/index.html)
2026-05-19 11:57:48 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Most Wanted' (https://books.toscrape.com/catalogue/most-wanted_623/index.html)
2026-05-19 11:57:49 | WARNING  | main | ⚠️ Prix introuvable pour le livre : 'Being Mortal: Medicine and What Matters in the End' (https://books.toscrape.com/catalogue/being-mortal-medicine-and-what-matters-in-the-end_512/index.html)
